"Source Name"	"Characteristics[Subject ID]"	"Characteristics[Strain]"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Sex]"	"Factor Value[Age]"	"Characteristics[AgeUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organ]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Tissue]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Cell]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Assay Type]"	"Characteristics[Biological Replicate]"	"Characteristics[Technical Replicate]"	"Factor Value[Compound]"	"Term Source REF"	"Term Accession Number"	"Characteristics[StdInChIKey]"	"Comment [ChEMBL ID]"	"Characteristics[Eniantiomer]"	"Characteristics[Compound Class]"	"Characteristics[Control]"	"Characteristics[Sample Match]"	"Factor Value[Dose]"	"Characteristics[DoseUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Duration]"	"Characteristics[Dose DurationUnit]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Dose Frequency]"	"Characteristics[Vehicle]"	"Characteristics[Route]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample TimePoint]"	"Characteristics[Sample TimePointUnit]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Treatment Group]"	"Protocol REF"	"Sample Name"
"LUM-7-BR234-P16-0h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"untreated"	""	""	""	""	""	"CTRL"	"TRUE"	""	""	""	""	""	"0"	"hour"	"UO"	"UO:0000032"	""	"None"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16-0h-R-3-1"
"LUM-7-BR234-P16.BAP 20-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"20"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BAP 20-72h-R-1-1"
"LUM-7-BR234-P16.BAP 20-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"20"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BAP 20-72h-R-2-1"
"LUM-7-BR234-P16.BAP 20-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"benzo[a]pyrene"	"CHEBI"	"CHEBI:29865"	"FMMWHPNWAFZXNH-UHFFFAOYSA-N"	"CHEMBL31184"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"20"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BAP 20-72h-R-3-1"
"LUM-7-BR234-P16.BEC 100-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"100"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BEC 100-72h-R-1-1"
"LUM-7-BR234-P16.BEC 100-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"100"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BEC 100-72h-R-2-1"
"LUM-7-BR234-P16.BEC 100-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"beclomethasone dipropionate"	"CHEBI"	"CHEBI:3002"	"KUVIULQEHSCUHY-XYWKZLDCSA-N"	"CHEMBL1200500"	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"100"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BEC 100-72h-R-3-1"
"LUM-7-BR234-P16.BEF 500-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"500"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BEF 500-72h-R-1-1"
"LUM-7-BR234-P16.BEF 500-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"500"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BEF 500-72h-R-2-1"
"LUM-7-BR234-P16.BEF 500-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"benzofuran"	"CHEBI"	"CHEBI:36790"	"IANQTJSKSUMEQM-UHFFFAOYSA-N"	"CHEMBL363614"	""	"Non-genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"500"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BEF 500-72h-R-3-1"
"LUM-7-BR234-P16.BIS 25-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"bisphenol A"	"CHEBI"	"CHEBI:33216"	"IISBACLAFKSPIT-UHFFFAOYSA-N"	"CHEMBL418971"	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"25"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BIS 25-72h-R-1-1"
"LUM-7-BR234-P16.BIS 25-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"bisphenol A"	"CHEBI"	"CHEBI:33216"	"IISBACLAFKSPIT-UHFFFAOYSA-N"	"CHEMBL418971"	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"25"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BIS 25-72h-R-2-1"
"LUM-7-BR234-P16.BIS 25-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"bisphenol A"	"CHEBI"	"CHEBI:33216"	"IISBACLAFKSPIT-UHFFFAOYSA-N"	"CHEMBL418971"	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"25"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.BIS 25-72h-R-3-1"
"LUM-7-BR234-P16.CAD 12.5-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.CAD 12.5-72h-R-1-1"
"LUM-7-BR234-P16.CAD 12.5-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.CAD 12.5-72h-R-2-1"
"LUM-7-BR234-P16.CAD 12.5-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"cadmium dichloride"	"CHEBI"	"CHEBI:35456"	"YKYOUMDCQGMQQO-UHFFFAOYSA-L"	"CHEMBL1458880"	""	"Non-genotoxic"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"12.5"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.CAD 12.5-72h-R-3-1"
"LUM-7-BR234-P16.COS 150-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cobalt(2+) sulfate"	"CHEBI"	"CHEBI:53470"	"KTVIXTQDYHMGHF-UHFFFAOYSA-L"	""	""	"Non-genotoxic"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"150"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.COS 150-72h-R-1-1"
"LUM-7-BR234-P16.COS 150-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"cobalt(2+) sulfate"	"CHEBI"	"CHEBI:53470"	"KTVIXTQDYHMGHF-UHFFFAOYSA-L"	""	""	"Non-genotoxic"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"150"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.COS 150-72h-R-2-1"
"LUM-7-BR234-P16.COS 150-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"cobalt(2+) sulfate"	"CHEBI"	"CHEBI:53470"	"KTVIXTQDYHMGHF-UHFFFAOYSA-L"	""	""	"Non-genotoxic"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"150"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.COS 150-72h-R-3-1"
"LUM-7-BR234-P16.CYC 10000-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"cyclophosphamide hydrate"	"CHEBI"	"CHEBI:4026"	"PWOQRKCAHTVFLB-UHFFFAOYSA-N"	"CHEMBL1200796"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"10000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.CYC 10000-72h-R-1-1"
"LUM-7-BR234-P16.CYC 10000-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"cyclophosphamide hydrate"	"CHEBI"	"CHEBI:4026"	"PWOQRKCAHTVFLB-UHFFFAOYSA-N"	"CHEMBL1200796"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"10000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.CYC 10000-72h-R-2-1"
"LUM-7-BR234-P16.CYC 10000-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"cyclophosphamide hydrate"	"CHEBI"	"CHEBI:4026"	"PWOQRKCAHTVFLB-UHFFFAOYSA-N"	"CHEMBL1200796"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"10000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.CYC 10000-72h-R-3-1"
"LUM-7-BR234-P16.DBA 125-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dibenz[a,h]anthracene"	"CHEBI"	"CHEBI:35299"	"LHRCREOYAASXPZ-UHFFFAOYSA-N"	"CHEMBL1346946"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"125"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.DBA 125-72h-R-1-1"
"LUM-7-BR234-P16.DBA 125-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"dibenz[a,h]anthracene"	"CHEBI"	"CHEBI:35299"	"LHRCREOYAASXPZ-UHFFFAOYSA-N"	"CHEMBL1346946"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"125"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.DBA 125-72h-R-2-1"
"LUM-7-BR234-P16.DBA 125-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"dibenz[a,h]anthracene"	"CHEBI"	"CHEBI:35299"	"LHRCREOYAASXPZ-UHFFFAOYSA-N"	"CHEMBL1346946"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"125"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.DBA 125-72h-R-3-1"
"LUM-7-BR234-P16.DMSO-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"dimethyl sulfoxide"	"CHEBI"	"CHEBI:28262"	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"CHEMBL504"	""	"DMSO"	"TRUE"	""	"0.0050"	"percent"	"UO"	"UO:0000187"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.DMSO-72h-R-1-1"
"LUM-7-BR234-P16.DMSO-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"dimethyl sulfoxide"	"CHEBI"	"CHEBI:28262"	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"CHEMBL504"	""	"DMSO"	"TRUE"	""	"0.0050"	"percent"	"UO"	"UO:0000187"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.DMSO-72h-R-2-1"
"LUM-7-BR234-P16.DMSO-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"dimethyl sulfoxide"	"CHEBI"	"CHEBI:28262"	"IAZDPXIOMUYVGZ-UHFFFAOYSA-N"	"CHEMBL504"	""	"DMSO"	"TRUE"	""	"0.0050"	"percent"	"UO"	"UO:0000187"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.DMSO-72h-R-3-1"
"LUM-7-BR234-P16.IPR 1250-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"ipratropium bromide hydrate"	"CHEBI"	"CHEBI:5957"	"KEWHKYJURDBRMN-ZEODDXGYSA-M"	""	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"1250"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.IPR 1250-72h-R-1-1"
"LUM-7-BR234-P16.IPR 1250-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"ipratropium bromide hydrate"	"CHEBI"	"CHEBI:5957"	"KEWHKYJURDBRMN-ZEODDXGYSA-M"	""	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"1250"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.IPR 1250-72h-R-2-1"
"LUM-7-BR234-P16.IPR 1250-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"ipratropium bromide hydrate"	"CHEBI"	"CHEBI:5957"	"KEWHKYJURDBRMN-ZEODDXGYSA-M"	""	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"1250"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.IPR 1250-72h-R-3-1"
"LUM-7-BR234-P16.NME 1000-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-methyl-N-nitrosurea"	"CHEBI"	"CHEBI:50102"	"ZRKWMRDKSOPRRS-UHFFFAOYSA-N"	"CHEMBL288958"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"1000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.NME 1000-72h-R-1-1"
"LUM-7-BR234-P16.NME 1000-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"N-methyl-N-nitrosurea"	"CHEBI"	"CHEBI:50102"	"ZRKWMRDKSOPRRS-UHFFFAOYSA-N"	"CHEMBL288958"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"1000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.NME 1000-72h-R-2-1"
"LUM-7-BR234-P16.NME 1000-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"N-methyl-N-nitrosurea"	"CHEBI"	"CHEBI:50102"	"ZRKWMRDKSOPRRS-UHFFFAOYSA-N"	"CHEMBL288958"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.Water-72h"	"1000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"Water"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.NME 1000-72h-R-3-1"
"LUM-7-BR234-P16.NMO 5000-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"N-nitrosomorpholine"	""	""	"ZKXDGKXYMTYWTB-UHFFFAOYSA-N"	"CHEMBL165908"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"5000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.NMO 5000-72h-R-1-1"
"LUM-7-BR234-P16.NMO 5000-72h-R-2-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"2"	"1"	"N-nitrosomorpholine"	""	""	"ZKXDGKXYMTYWTB-UHFFFAOYSA-N"	"CHEMBL165908"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"5000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.NMO 5000-72h-R-2-1"
"LUM-7-BR234-P16.NMO 5000-72h-R-3-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"3"	"1"	"N-nitrosomorpholine"	""	""	"ZKXDGKXYMTYWTB-UHFFFAOYSA-N"	"CHEMBL165908"	""	"Genotoxic"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"5000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.NMO 5000-72h-R-3-1"
"LUM-7-BR234-P16.PHA 4000-72h-R-1-1"	""	"BR234/p16"	"Homo sapiens"	"NCBITaxon"	"obo:NCBITaxon_9606"	""	""	""	""	""	""	""	""	""	""	""	"lung"	"BTO"	"763"	"in vitro"	"1"	"1"	"phthalic anhydride"	"CHEBI"	"CHEBI:36605"	"LGRFSURHDFAFJT-UHFFFAOYSA-N"	"CHEMBL1371297"	""	"Non-carcinogen"	"FALSE"	"LUM-7-BR234-P16.DMSO-72h-R"	"4000"	"micromolar"	"UO"	"UO:0000064"	"72"	"hour"	"UO"	"UO:0000032"	""	"DMSO"	""	""	""	""	""	""	""	""	"sample collection"	"LUM-7-BR234-P16.PHA 4000-72h-R-1-1"
